Year,Month,Value,Monthly Change
2008,1,12099.3,-1240.550000000001
2008,2,12182.13,82.82999999999993
2008,3,11893.69,-288.4399999999987
2008,4,12325.42,431.72999999999956
2008,5,12479.63,154.20999999999913
2008,6,11346.51,-1133.119999999999
2008,7,11100.54,-245.96999999999935
2008,8,11326.32,225.77999999999884
2008,9,11143.13,-183.1900000000005
2008,10,8378.95,-2764.1799999999985
2008,11,8046.42,-332.53000000000065
2008,12,8515.55,469.1299999999992
