Year,Change,Rate Change
2016,3416.149999999998,20.89842136977752
2015,-407.96000000000276,-2.287670211220904
2014,1583.7199999999975,9.615792116449358
2013,3043.2000000000007,22.650929907310722
2012,578.1900000000005,4.677942899306796
2011,542.7999999999993,4.649346110755161
2010,959.3199999999997,9.034684819164092
2009,1294.199999999999,14.32478590853697
2008,-4284.630000000001,-33.47320115810872
2007,967.8600000000006,7.806575410085978
2006,1503.8400000000001,13.72203177024831
2005,113.54000000000087,1.0707320661337922
2004,373.15999999999985,3.584681815780245
2003,1722.9799999999996,20.030714894398653
2002,-1955.9599999999991,-19.064420735808113
2001,-525.0200000000004,-4.924212226400091
2000,-735.7099999999991,-6.384952649411234
1999,1853.800000000001,19.223669856439496
1998,1216.3900000000003,15.27161194419614
1997,1135.2200000000003,17.347255309752775
1996,1379.4799999999996,26.623538289622736
1995,1249.71,32.31387414316041
1994,13.670000000000073,0.35778128492424494
1993,502.4200000000001,15.4511374155434
1992,99.63000000000011,3.1119982008321188
1991,535.4299999999998,20.865597075706614
1990,-144.03999999999996,-5.193906066889028
1989,558.9099999999999,25.471109105906688
1988,257.2600000000002,13.459878303362627
1987,11.519999999999982,0.5977242892944042
1986,381.20000000000005,24.606248386263882
