Date,Value
7/9/1982,814.12
7/16/1982,828.67
7/23/1982,830.57
7/30/1982,808.6
8/6/1982,784.34
8/13/1982,788.05
8/20/1982,869.29
8/27/1982,883.47
9/3/1982,925.13
9/10/1982,906.82
9/17/1982,916.94
9/24/1982,919.52
10/1/1982,907.74
10/8/1982,986.85
10/15/1982,993.1
10/22/1982,1031.46
10/29/1982,991.72
11/5/1982,1051.78
11/12/1982,1039.92
11/19/1982,1021.25
11/26/1982,1007.36
12/3/1982,1031.36
12/10/1982,1018.76
12/17/1982,1011.5
12/23/1982,1045.07
12/31/1982,1046.54
1/7/1983,1076.07
1/14/1983,1080.85
1/21/1983,1052.98
1/28/1983,1064.75
2/4/1983,1077.91
2/11/1983,1086.5
2/18/1983,1092.82
2/25/1983,1120.94
3/4/1983,1140.96
3/11/1983,1117.74
3/18/1983,1117.74
3/25/1983,1140.09
3/31/1983,1130.03
4/8/1983,1124.71
4/15/1983,1171.34
4/22/1983,1196.3
4/29/1983,1226.2
5/6/1983,1232.59
5/13/1983,1218.75
5/20/1983,1190.02
5/27/1983,1216.14
6/3/1983,1213.04
6/10/1983,1196.11
6/17/1983,1242.19
6/24/1983,1241.69
7/1/1983,1225.26
7/8/1983,1207.23
7/15/1983,1192.31
7/22/1983,1231.17
7/29/1983,1199.22
8/5/1983,1183.29
8/12/1983,1182.83
8/19/1983,1194.21
8/26/1983,1192.07
9/2/1983,1215.45
9/9/1983,1239.74
9/16/1983,1225.71
9/23/1983,1255.59
9/30/1983,1233.13
10/7/1983,1272.15
10/14/1983,1263.52
10/21/1983,1248.88
10/28/1983,1223.48
11/4/1983,1218.29
11/11/1983,1250.2
11/18/1983,1251.02
11/25/1983,1277.44
12/2/1983,1265.24
12/9/1983,1260.06
12/16/1983,1242.17
12/23/1983,1250.51
12/30/1983,1258.64
1/6/1984,1286.64
1/13/1984,1270.1
1/20/1984,1259.11
1/27/1984,1230
2/3/1984,1197.03
2/10/1984,1160.7
2/17/1984,1148.87
2/24/1984,1165.1
3/2/1984,1171.48
3/9/1984,1139.76
3/16/1984,1184.36
3/23/1984,1154.84
3/30/1984,1164.89
4/6/1984,1132.22
4/13/1984,1150.13
4/19/1984,1158.08
4/27/1984,1169.07
5/4/1984,1165.31
5/11/1984,1157.14
5/18/1984,1133.79
5/25/1984,1107.1
6/1/1984,1124.35
6/8/1984,1131.25
6/15/1984,1086.9
6/22/1984,1131.07
6/29/1984,1132.4
7/6/1984,1122.57
7/13/1984,1109.87
7/20/1984,1101.37
7/27/1984,1114.62
8/3/1984,1202.08
8/10/1984,1218.09
8/17/1984,1211.9
8/24/1984,1236.53
8/31/1984,1224.38
9/7/1984,1207.38
9/14/1984,1237.52
9/21/1984,1201.74
9/28/1984,1206.71
10/5/1984,1182.53
10/12/1984,1190.7
10/19/1984,1225.93
10/26/1984,1204.95
11/2/1984,1216.65
11/9/1984,1218.97
11/16/1984,1187.94
11/23/1984,1220.3
11/30/1984,1188.94
12/7/1984,1163.21
12/14/1984,1175.91
12/21/1984,1198.98
12/28/1984,1204.17
1/4/1985,1184.96
1/11/1985,1218.09
1/18/1985,1227.36
1/25/1985,1276.06
2/1/1985,1277.72
2/8/1985,1289.97
2/15/1985,1282.02
2/22/1985,1275.84
3/1/1985,1299.36
3/8/1985,1269.66
3/15/1985,1247.35
3/22/1985,1267.45
3/29/1985,1266.78
4/4/1985,1259.05
4/12/1985,1265.68
4/19/1985,1266.56
4/26/1985,1275.18
5/3/1985,1247.24
5/10/1985,1274.18
5/17/1985,1285.34
5/24/1985,1301.97
5/31/1985,1315.41
6/7/1985,1316.42
6/14/1985,1300.96
6/21/1985,1324.48
6/28/1985,1335.46
7/5/1985,1334.45
7/12/1985,1338.6
7/19/1985,1359.54
7/26/1985,1357.08
8/2/1985,1353.05
8/9/1985,1320.79
8/16/1985,1312.72
8/23/1985,1318.32
8/30/1985,1334.01
9/6/1985,1335.69
9/13/1985,1307.68
9/20/1985,1297.94
9/26/1985,1320.79
10/4/1985,1328.74
10/11/1985,1339.94
10/18/1985,1368.84
10/25/1985,1356.52
11/1/1985,1390.25
11/8/1985,1404.36
11/15/1985,1435.09
11/22/1985,1464.33
11/29/1985,1472.13
12/6/1985,1477.18
12/13/1985,1535.21
12/20/1985,1543
12/27/1985,1543
1/3/1986,1549.2
1/10/1986,1513.53
1/17/1986,1536.7
1/24/1986,1529.93
1/31/1986,1570.99
2/7/1986,1613.42
2/14/1986,1664.45
2/21/1986,1697.71
2/28/1986,1709.06
3/7/1986,1699.83
3/14/1986,1792.74
3/21/1986,1768.56
3/27/1986,1821.72
4/4/1986,1739.22
4/11/1986,1790.18
4/18/1986,1840.4
4/25/1986,1835.57
5/2/1986,1774.68
5/9/1986,1789.43
5/16/1986,1759.8
5/23/1986,1823.29
5/30/1986,1876.71
6/6/1986,1885.9
6/13/1986,1874.19
6/20/1986,1879.54
6/27/1986,1885.26
7/3/1986,1900.87
7/11/1986,1821.43
7/18/1986,1777.98
7/25/1986,1810.04
8/1/1986,1763.64
8/8/1986,1782.62
8/15/1986,1855.6
8/22/1986,1887.8
8/29/1986,1898.34
9/5/1986,1899.75
9/12/1986,1758.72
9/19/1986,1762.65
9/26/1986,1769.69
10/3/1986,1774.18
10/10/1986,1793.17
10/17/1986,1837.04
10/24/1986,1832.36
10/31/1986,1877.71
11/7/1986,1886.53
11/14/1986,1873.59
11/21/1986,1893.56
11/28/1986,1914.23
12/5/1986,1925.06
12/12/1986,1912.26
12/19/1986,1928.85
12/26/1986,1930.4
1/2/1987,1927.31
1/9/1987,2005.91
1/16/1987,2076.63
1/23/1987,2101.52
1/30/1987,2158.04
2/6/1987,2186.87
2/13/1987,2183.35
2/20/1987,2235.24
2/27/1987,2223.99
3/6/1987,2280.23
3/13/1987,2258.66
3/20/1987,2333.52
3/27/1987,2335.8
4/3/1987,2390.34
4/10/1987,2338.78
4/16/1987,2275.99
4/24/1987,2235.37
5/1/1987,2280.4
5/8/1987,2322.3
5/15/1987,2272.52
5/22/1987,2243.2
5/29/1987,2291.57
6/5/1987,2326.15
6/12/1987,2377.73
6/19/1987,2420.85
6/26/1987,2436.86
7/2/1987,2436.7
7/10/1987,2455.99
7/17/1987,2510.04
7/24/1987,2485.33
7/31/1987,2572.07
8/7/1987,2592
8/14/1987,2685.43
8/21/1987,2709.5
8/28/1987,2639.35
9/4/1987,2561.38
9/11/1987,2608.74
9/18/1987,2524.64
9/25/1987,2570.17
10/2/1987,2640.99
10/9/1987,2482.21
10/16/1987,2246.73
10/23/1987,1950.76
10/30/1987,1993.53
11/6/1987,1959.05
11/13/1987,1935.01
11/20/1987,1913.63
11/27/1987,1910.48
12/4/1987,1766.74
12/11/1987,1867.04
12/18/1987,1975.3
12/24/1987,1999.67
12/31/1987,1938.83
1/8/1988,1911.31
1/15/1988,1956.07
1/22/1988,1903.51
1/29/1988,1958.22
2/5/1988,1910.48
2/12/1988,1983.26
2/19/1988,2014.59
2/26/1988,2023.21
3/4/1988,2057.86
3/11/1988,2034.98
3/18/1988,2087.37
3/25/1988,1978.95
3/31/1988,1988.06
4/8/1988,2090.19
4/15/1988,2013.93
4/22/1988,2015.09
4/29/1988,2032.33
5/6/1988,2007.46
5/13/1988,1990.55
5/20/1988,1952.59
5/27/1988,1956.44
6/3/1988,2071.31
6/10/1988,2101.71
6/17/1988,2104.02
6/24/1988,2142.96
7/1/1988,2131.58
7/8/1988,2106.15
7/15/1988,2129.45
7/22/1988,2060.99
7/29/1988,2128.73
8/5/1988,2119.13
8/12/1988,2037.52
8/19/1988,2016
8/26/1988,2017.43
9/2/1988,2054.59
9/9/1988,2068.81
9/16/1988,2098.15
9/23/1988,2090.68
9/30/1988,2112.91
10/7/1988,2150.25
10/14/1988,2133.18
10/21/1988,2183.5
10/28/1988,2149.89
11/4/1988,2145.8
11/11/1988,2067.03
11/18/1988,2062.41
11/25/1988,2074.68
12/2/1988,2092.28
12/9/1988,2143.49
12/16/1988,2150.71
12/23/1988,2168.93
12/30/1988,2168.57
1/6/1989,2194.29
1/13/1989,2226.07
1/20/1989,2235.36
1/27/1989,2322.86
2/3/1989,2331.25
2/10/1989,2286.07
2/17/1989,2324.82
2/24/1989,2245.54
3/3/1989,2274.29
3/10/1989,2282.14
3/17/1989,2292.14
3/23/1989,2243.04
3/31/1989,2293.62
4/7/1989,2304.8
4/14/1989,2337.06
4/21/1989,2409.46
4/28/1989,2418.8
5/5/1989,2381.96
